record_id,event_time_utc,asset_class,program_value_band,schedule_criticality,robot_type,task_type,shift,terrain,weather,autonomy_level,battery_pct,signal_strength_pct,payload_kg,task_duration_min,cycle_time_sec,energy_used_kwh,operator_interventions,near_miss_count,planned_maintenance_flag,unplanned_downtime_min,qa_tolerance_mm,qa_deviation_mm,qa_pass_flag,value_at_risk_musd,delay_risk_pct,estimated_rework_cost_usd,productivity_score,task_success_label
CRI-000046,2025-01-01T12:54:00Z,airport_terminal,high,high,bricklaying_robot,masonry,day,mixed,windy,4,35,90,100,178,34.6,6.45,4,0,0,8,4.09,2.63,1,3.61,26.89,0.0,75.91,1
CRI-000047,2025-01-01T13:03:00Z,long_span_bridge,very_high,critical,bricklaying_robot,masonry,day,sloped,heavy_rain,3,55,93,319,58,11.93,6.79,4,0,0,0,7.3,7.72,0,9.34,35.81,129454.54,64.19,0
CRI-000048,2025-01-01T13:12:00Z,data_center,high,critical,inspection_drone,qa_inspection,day,mixed,cloudy,4,99,100,16,32,92.44,1.22,1,0,0,10,2.98,2.91,1,4.52,11.19,0.0,92.31,1
CRI-000049,2025-01-01T13:21:00Z,data_center,high,critical,autonomous_excavator,bulk_excavation,day,flat,clear,5,35,82,3843,296,231.22,184.01,0,0,0,5,2.46,2.07,1,4.15,2.75,0.0,99,1
CRI-000050,2025-01-01T13:30:00Z,semiconductor_fab,very_high,critical,concrete_printing_robot,concrete_printing,night,flat,cold,4,87,98,507,161,62.52,21.21,4,0,0,2,2.7,2.34,1,8.37,29.41,0.0,71.29,0
CRI-000051,2025-01-01T13:39:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,night,flat,clear,3,47,80,15,161,28.32,5.23,3,0,0,0,1.26,0.91,1,3.23,27.67,0.0,72.33,1
CRI-000052,2025-01-01T13:48:00Z,data_center,high,critical,bricklaying_robot,masonry,day,mixed,clear,4,26,85,383,75,22.82,3.94,1,0,0,5,3.85,4.08,0,3.46,17.96,8536.72,83.79,0
CRI-000053,2025-01-01T13:57:00Z,long_span_bridge,very_high,critical,concrete_printing_robot,concrete_printing,day,confined,windy,2,28,80,381,339,126.8,72.35,2,0,0,1,4.63,5.77,0,7.65,38.16,95829.19,62.19,0
CRI-000054,2025-01-01T14:06:00Z,metro_tunnel,very_high,high,material_transport_rover,material_transport,night,flat,cloudy,5,69,83,1530,360,136.47,92.8,2,0,1,0,8.12,7.16,1,5.24,13.4,0.0,86.6,1
CRI-000055,2025-01-01T14:15:00Z,data_center,high,critical,autonomous_excavator,precision_grading,day,sloped,windy,5,72,97,1978,327,196.55,112.78,3,0,0,1,3.52,2.32,1,3.78,17.74,0.0,82.61,1
CRI-000056,2025-01-01T14:24:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,night,sloped,heavy_rain,4,100,87,83,34,10.69,2.08,6,1,0,5,1.62,1.28,1,8.1,55.64,0.0,56.11,0
CRI-000057,2025-01-01T14:33:00Z,airport_terminal,high,high,autonomous_excavator,bulk_excavation,day,flat,light_rain,3,65,79,3124,325,122.61,104.91,2,0,0,0,3.47,3.41,1,5.04,22.13,0.0,77.87,1
CRI-000058,2025-01-01T14:42:00Z,semiconductor_fab,very_high,critical,inspection_drone,qa_inspection,day,mixed,clear,4,85,91,20,48,15.96,0.75,2,0,0,7,1.42,0.92,1,3.07,13.03,0.0,89.42,1
CRI-000059,2025-01-01T14:51:00Z,semiconductor_fab,very_high,critical,material_transport_rover,material_transport,night,sloped,cloudy,2,23,83,1532,314,188.79,47.89,6,0,0,4,2.28,1.72,1,4.55,42.77,0.0,58.63,0
CRI-000060,2025-01-01T15:00:00Z,airport_terminal,high,high,bricklaying_robot,masonry,day,flat,cloudy,3,28,82,193,190,34.27,7.59,4,0,0,0,4.9,4.51,1,3.24,24.48,0.0,75.52,1
CRI-000061,2025-01-01T15:09:00Z,data_center,high,critical,autonomous_excavator,bulk_excavation,day,flat,clear,4,27,75,2700,308,341.96,152.31,4,0,0,0,4.77,4.51,1,7.12,23.26,0.0,76.74,1
CRI-000062,2025-01-01T15:18:00Z,data_center,high,critical,concrete_printing_robot,concrete_printing,day,flat,light_rain,2,77,84,393,59,128.48,17.44,4,0,0,4,2.27,2.19,1,7.7,29.05,0.0,72.35,1
CRI-000063,2025-01-01T15:27:00Z,long_span_bridge,very_high,critical,inspection_drone,qa_inspection,day,flat,clear,2,31,95,23,63,78.07,0.7,4,0,0,0,4.24,3.63,1,3.85,22.94,0.0,77.06,1
CRI-000064,2025-01-01T15:36:00Z,hospital,high,critical,bricklaying_robot,masonry,day,flat,light_rain,2,67,79,388,96,18.67,8.05,2,0,0,16,2.28,1.81,1,3.16,29.94,0.0,75.66,1
CRI-000065,2025-01-01T15:45:00Z,semiconductor_fab,very_high,critical,concrete_printing_robot,concrete_printing,day,sloped,heavy_rain,4,85,72,470,29,87.58,4.14,1,0,0,0,1.43,1.74,0,4.24,30.31,62185.65,69.69,0
CRI-000066,2025-01-01T15:54:00Z,data_center,high,critical,inspection_drone,qa_inspection,night,mixed,windy,4,37,75,20,104,105.15,0.68,3,0,0,12,3.09,3.26,0,6.39,25.75,35209.18,78.45,0
CRI-000067,2025-01-01T16:03:00Z,data_center,high,critical,concrete_printing_robot,concrete_printing,night,confined,clear,3,54,94,265,122,151.18,16.45,1,0,0,8,2.75,2.75,1,2.17,20.39,0.0,82.41,1
CRI-000068,2025-01-01T16:12:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,day,sloped,cloudy,2,46,96,21,232,7.38,11.82,1,0,1,11,1.47,1.83,0,11.38,20.7,133708.29,83.15,0
CRI-000069,2025-01-01T16:21:00Z,metro_tunnel,very_high,high,rebar_tying_robot,rebar_tying,night,mixed,clear,2,78,84,19,151,11.61,4.94,0,0,0,0,9.64,9.41,1,3.78,23.0,0.0,77.0,1
CRI-000070,2025-01-01T16:30:00Z,airport_terminal,high,high,inspection_drone,progress_scan,night,mixed,clear,4,98,86,10,239,15.2,4.15,0,0,0,0,4.71,3.21,1,3.29,9.12,0.0,90.88,1
CRI-000071,2025-01-01T16:39:00Z,metro_tunnel,very_high,high,inspection_drone,qa_inspection,day,mixed,clear,5,50,93,12,143,106.62,3.86,5,0,1,10,8.63,9.19,0,6.1,15.18,28220.66,88.32,0
CRI-000072,2025-01-01T16:48:00Z,metro_tunnel,very_high,high,concrete_printing_robot,concrete_printing,night,flat,windy,4,76,71,304,41,80.76,6.88,2,0,1,12,6.39,7.16,0,6.85,27.93,102284.73,76.27,0
CRI-000073,2025-01-01T16:57:00Z,data_center,high,critical,material_transport_rover,material_transport,night,flat,clear,3,74,98,1015,274,267.62,39.84,4,0,0,1,4.39,3.23,1,4.3,19.49,0.0,80.86,1
CRI-000074,2025-01-01T17:06:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,bulk_excavation,day,mixed,clear,4,39,92,3777,200,294.83,97.69,1,0,0,5,2.28,2.52,0,6.66,12.13,88234.81,89.62,0
CRI-000075,2025-01-01T17:15:00Z,data_center,high,critical,autonomous_excavator,bulk_excavation,day,flat,heavy_rain,2,48,94,3123,36,291.66,21.39,2,0,0,0,4.85,3.93,1,4.94,30.12,0.0,69.88,0
CRI-000076,2025-01-01T17:24:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,bulk_excavation,day,flat,light_rain,4,51,94,3306,166,320.54,121.63,2,0,0,10,1.4,0.9,1,9.42,15.82,0.0,87.68,1
CRI-000077,2025-01-01T17:33:00Z,long_span_bridge,very_high,critical,bricklaying_robot,masonry,day,flat,light_rain,3,38,92,169,205,24.81,8.99,2,0,1,0,4.0,2.59,1,7.21,23.18,0.0,76.82,1
CRI-000078,2025-01-01T17:42:00Z,hospital,high,critical,inspection_drone,qa_inspection,day,mixed,clear,3,70,94,5,182,95.29,3.78,1,0,0,7,3.36,2.66,1,4.52,17.01,0.0,85.44,1
CRI-000079,2025-01-01T17:51:00Z,hospital,high,critical,autonomous_excavator,bulk_excavation,day,flat,cloudy,5,46,81,1963,60,176.45,34.51,4,0,0,0,3.1,1.98,1,3.76,18.18,0.0,81.82,1
CRI-000080,2025-01-01T18:00:00Z,data_center,high,critical,material_transport_rover,material_transport,day,sloped,heavy_rain,2,23,100,1113,312,184.98,61.61,1,0,0,0,3.49,3.45,1,4.64,35.16,0.0,64.84,0
CRI-000081,2025-01-01T18:09:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,bulk_excavation,day,mixed,clear,3,36,80,2214,224,137.5,103.17,3,0,0,0,2.12,1.64,1,5.23,21.93,0.0,78.07,1
CRI-000082,2025-01-01T18:18:00Z,semiconductor_fab,very_high,critical,inspection_drone,progress_scan,night,flat,clear,3,91,93,16,283,73.35,10.12,1,0,0,13,1.99,1.22,1,5.17,20.5,0.0,84.05,1
CRI-000083,2025-01-01T18:27:00Z,semiconductor_fab,very_high,critical,inspection_drone,progress_scan,day,flat,clear,2,51,93,2,225,21.39,5.55,1,0,0,8,1.73,1.3,1,7.95,14.77,0.0,88.03,1
CRI-000084,2025-01-01T18:36:00Z,airport_terminal,high,high,rebar_tying_robot,rebar_tying,night,flat,clear,5,36,76,25,43,7.01,2.66,1,0,0,0,5.41,4.94,1,2.01,8.42,0.0,91.58,1
CRI-000085,2025-01-01T18:45:00Z,semiconductor_fab,very_high,critical,inspection_drone,progress_scan,day,mixed,windy,3,90,79,11,76,137.49,1.93,2,0,1,8,2.59,2.74,0,7.27,18.6,99915.68,84.2,0
CRI-000086,2025-01-01T18:54:00Z,metro_tunnel,very_high,high,inspection_drone,qa_inspection,day,flat,light_rain,4,97,94,22,144,18.95,5.5,3,0,0,0,4.66,2.62,1,7.18,19.91,0.0,80.09,1
CRI-000087,2025-01-01T19:03:00Z,long_span_bridge,very_high,critical,material_transport_rover,material_transport,day,mixed,light_rain,5,79,86,2132,292,162.7,41.73,0,0,0,15,6.86,7.23,0,7.69,19.02,43815.98,86.23,0
CRI-000088,2025-01-01T19:12:00Z,hospital,high,critical,rebar_tying_robot,rebar_tying,day,mixed,light_rain,3,79,81,85,167,9.17,10.01,0,0,0,0,2.76,3.41,0,5.43,19.29,34287.49,80.71,0
CRI-000089,2025-01-01T19:21:00Z,airport_terminal,high,high,bricklaying_robot,masonry,night,flat,windy,5,52,99,135,335,32.93,18.11,1,0,0,0,3.15,3.73,0,1.78,15.83,16173.18,84.17,0
CRI-000090,2025-01-01T19:30:00Z,airport_terminal,high,high,rebar_tying_robot,rebar_tying,night,flat,cold,4,78,85,88,184,13.42,5.16,1,0,0,0,5.31,5.35,0,6.13,23.66,96989.25,76.34,0
CRI-000091,2025-01-01T19:39:00Z,hospital,high,critical,rebar_tying_robot,rebar_tying,day,mixed,cold,5,55,98,42,191,13.4,14.54,4,0,0,4,3.09,2.77,1,3.57,20.36,0.0,81.04,1
CRI-000092,2025-01-01T19:48:00Z,data_center,high,critical,concrete_printing_robot,concrete_printing,day,flat,light_rain,3,42,75,515,238,109.72,29.74,1,0,0,0,4.01,2.72,1,3.11,21.85,0.0,78.15,1
CRI-000093,2025-01-01T19:57:00Z,metro_tunnel,very_high,high,bricklaying_robot,masonry,day,flat,windy,3,48,71,161,227,31.01,25.73,2,0,0,0,9.33,10.16,0,9.05,21.19,48080.28,78.81,0
CRI-000094,2025-01-01T20:06:00Z,long_span_bridge,very_high,critical,concrete_printing_robot,concrete_printing,night,flat,cloudy,4,78,94,323,146,133.65,32.49,0,0,0,0,6.94,6.37,1,10.3,15.69,0.0,84.31,1
CRI-000095,2025-01-01T20:15:00Z,long_span_bridge,very_high,critical,rebar_tying_robot,rebar_tying,night,mixed,clear,4,92,85,29,252,9.43,11.71,4,0,0,7,5.82,5.48,1,2.69,27.06,0.0,75.39,1
CRI-000096,2025-01-01T20:24:00Z,data_center,high,critical,autonomous_excavator,bulk_excavation,day,mixed,cloudy,2,26,99,1537,89,343.89,64.43,1,0,0,4,3.94,3.33,1,7.15,20.64,0.0,80.76,1
CRI-000097,2025-01-01T20:33:00Z,airport_terminal,high,high,material_transport_rover,material_transport,day,flat,windy,4,85,74,264,31,353.55,5.08,2,0,0,0,5.16,4.37,1,3.87,19.9,0.0,80.1,1
CRI-000098,2025-01-01T20:42:00Z,long_span_bridge,very_high,critical,autonomous_excavator,bulk_excavation,day,sloped,light_rain,5,20,77,937,248,289.28,149.98,3,0,0,6,3.24,3.46,0,4.35,27.73,12382.97,74.37,0
CRI-000099,2025-01-01T20:51:00Z,hospital,high,critical,bricklaying_robot,masonry,night,flat,heavy_rain,4,59,77,418,286,14.74,16.98,2,0,0,6,2.12,2.57,0,4.44,32.56,41888.34,69.54,0
CRI-000100,2025-01-01T21:00:00Z,long_span_bridge,very_high,critical,material_transport_rover,material_transport,day,flat,light_rain,2,66,75,1173,173,317.26,17.76,2,0,0,0,5.32,3.14,1,7.0,26.2,0.0,73.8,1
CRI-000101,2025-01-01T21:09:00Z,semiconductor_fab,very_high,critical,autonomous_excavator,precision_grading,day,mixed,heavy_rain,3,52,82,1098,116,356.51,64.34,1,0,0,0,2.34,1.64,1,5.73,22.02,0.0,77.98,1
CRI-000102,2025-01-01T21:18:00Z,data_center,high,critical,material_transport_rover,material_transport,night,confined,light_rain,4,44,82,1409,214,199.88,42.66,4,0,0,0,2.93,2.35,1,6.72,30.4,0.0,69.6,0
CRI-000103,2025-01-01T21:27:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,day,sloped,clear,4,20,78,121,171,9.96,7.19,1,0,0,0,1.76,1.99,0,9.16,23.68,131206.73,76.32,0
CRI-000104,2025-01-01T21:36:00Z,long_span_bridge,very_high,critical,material_transport_rover,material_transport,night,flat,cloudy,2,87,85,490,288,70.15,68.34,4,0,0,16,7.73,7.87,0,9.66,37.82,121788.87,67.78,0
CRI-000105,2025-01-01T21:45:00Z,data_center,high,critical,inspection_drone,progress_scan,day,mixed,clear,4,79,91,18,230,16.48,5.41,2,1,0,3,2.82,3.48,0,5.88,21.09,92002.01,89.96,0
CRI-000106,2025-01-01T21:54:00Z,data_center,high,critical,autonomous_excavator,bulk_excavation,day,flat,clear,3,68,72,3114,144,416.83,57.29,1,0,0,8,4.05,4.63,0,6.44,20.16,49516.9,82.64,0
CRI-000107,2025-01-01T22:03:00Z,hospital,high,critical,autonomous_excavator,bulk_excavation,day,sloped,light_rain,4,60,88,2963,41,169.67,28.31,6,0,0,0,3.38,3.2,1,4.76,33.98,0.0,66.02,0
CRI-000108,2025-01-01T22:12:00Z,airport_terminal,high,high,rebar_tying_robot,rebar_tying,day,flat,clear,5,68,99,76,310,27.7,13.98,3,0,0,4,5.69,4.45,1,6.93,9.28,0.0,92.12,1
CRI-000109,2025-01-01T22:21:00Z,long_span_bridge,very_high,critical,autonomous_excavator,bulk_excavation,night,flat,cloudy,4,94,82,3397,159,349.65,78.74,4,0,0,1,4.14,3.88,1,7.48,24.83,0.0,75.52,1
CRI-000110,2025-01-01T22:30:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,day,mixed,clear,4,67,80,93,247,15.36,9.62,2,0,0,5,1.27,0.87,1,6.67,18.81,0.0,82.94,1
CRI-000111,2025-01-01T22:39:00Z,data_center,high,critical,inspection_drone,progress_scan,day,flat,high_heat,4,89,98,17,106,100.66,1.16,4,0,0,2,2.81,2.07,1,3.29,22.9,0.0,77.8,1
CRI-000112,2025-01-01T22:48:00Z,semiconductor_fab,very_high,critical,rebar_tying_robot,rebar_tying,day,flat,windy,3,68,80,99,245,14.7,16.45,3,0,0,0,2.72,3.35,0,11.53,24.99,77398.0,75.01,0
CRI-000113,2025-01-01T22:57:00Z,long_span_bridge,very_high,critical,bricklaying_robot,masonry,day,confined,light_rain,4,59,82,266,78,39.62,3.95,2,0,1,32,7.99,5.4,1,8.68,30.01,0.0,81.19,1
CRI-000114,2025-01-01T23:06:00Z,metro_tunnel,very_high,high,material_transport_rover,material_transport,night,flat,heavy_rain,3,99,79,1983,213,82.19,56.42,3,0,0,13,6.88,5.71,1,7.19,39.46,0.0,65.09,0
CRI-000115,2025-01-01T23:15:00Z,semiconductor_fab,very_high,critical,inspection_drone,qa_inspection,day,mixed,clear,3,96,71,21,224,135.85,3.72,0,0,0,0,2.59,1.62,1,9.72,10.88,0.0,89.12,1
CRI-000116,2025-01-01T23:24:00Z,data_center,high,critical,bricklaying_robot,masonry,day,mixed,cloudy,2,21,85,123,79,36.1,7.63,4,0,0,7,3.04,2.4,1,3.76,37.87,0.0,64.58,0
CRI-000117,2025-01-01T23:33:00Z,hospital,high,critical,autonomous_excavator,precision_grading,day,flat,clear,3,31,91,3833,144,262.7,77.64,3,0,0,0,2.66,2.26,1,4.46,21.12,0.0,78.88,1
CRI-000118,2025-01-01T23:42:00Z,semiconductor_fab,very_high,critical,material_transport_rover,material_transport,day,flat,cloudy,3,53,94,666,294,116.09,40.42,2,0,0,0,1.92,1.41,1,8.75,14.13,0.0,85.87,1
CRI-000119,2025-01-01T23:51:00Z,hospital,high,critical,bricklaying_robot,masonry,day,sloped,heavy_rain,4,56,99,148,180,11.13,10.76,2,0,0,1,2.37,2.45,0,1.76,28.2,8423.9,72.15,0
